longitud_url,caracteres_especiales,uso_subdominios,verificar_https,similitud_url_legitimas,palabras_clave_sospechosas,ip_en_lugar_de_dominio,url_acortada,puerto_no_estandar,terminos_seguridad_falsos,profundidad_url,archivo_descargable_sospechoso,parametros_sensibles_url,entropia_url,status_binario
66,11,3,1,[0.],0,0,False,0,False,2,False,0,4.315015854397582,0
33,6,2,1,[0.28867513],0,0,False,0,False,1,False,0,3.857689287275721,0
111,15,3,0,[0.15430335],0,0,False,0,False,5,False,0,4.7417778624989975,1
31,6,3,1,[0.],0,0,True,0,False,1,False,0,4.0022680844408445,0
254,12,3,0,[0.38490018],0,0,False,0,False,2,False,0,5.786374346706747,1
72,15,3,1,[0.20412415],0,0,False,0,False,3,False,0,4.414096662207429,0
18,4,2,0,[0.33333333],0,0,False,0,False,0,False,0,3.6143694458867563,0
33,6,3,0,[0.57735027],0,0,False,0,False,1,False,0,3.945464952495108,0
126,18,5,0,[0.42008403],0,0,False,0,True,2,False,0,4.675515929439944,1
40,8,3,0,[0.43643578],0,0,False,0,False,2,False,0,4.106198332810094,1
29,5,2,1,[0.28867513],0,0,False,0,False,1,False,0,3.9228287372391675,1
64,11,3,1,[0.18257419],0,0,False,0,False,3,False,0,4.216328470024671,0
53,10,3,1,[0.],0,0,False,0,False,2,False,0,4.485009077564572,0
80,15,3,1,[0.17407766],0,0,False,0,False,6,False,0,4.131521227172131,0
22,7,4,0,[0.25819889],0,1,False,0,False,1,False,0,3.538310595615006,1
25,6,3,0,[0.57735027],0,0,False,0,False,1,False,0,3.5132696895151074,0
106,17,3,1,[0.1490712],0,0,False,0,False,3,False,0,4.689757309937238,1
39,7,3,0,[0.47140452],0,0,False,0,False,2,False,0,4.291687154704211,0
56,8,3,0,[0.43643578],0,0,False,0,False,1,False,0,4.296119377716701,0
65,11,3,0,[0.38490018],0,0,False,0,False,6,False,0,4.3558675219906045,1
89,15,3,1,[0.],0,0,False,0,False,8,False,0,4.846410611969833,1
163,21,2,1,[0.],0,0,False,0,False,6,False,0,5.487155875754186,1
52,10,3,0,[0.19245009],0,0,False,0,False,4,False,0,4.15421610287363,1
39,8,2,0,[0.43643578],0,0,True,0,False,2,False,0,4.352978424590446,1
132,12,3,1,[0.19245009],0,0,False,0,False,2,False,0,5.377505627696724,1
63,11,4,0,[0.19245009],0,0,False,0,False,5,False,0,4.169907163770267,1
28,8,3,0,[0.25819889],0,0,False,0,False,3,False,0,3.454701244167347,1
43,11,4,0,[0.20412415],0,0,False,0,False,4,False,0,4.268719696310996,1
42,7,2,0,[0.51639778],0,0,False,0,False,3,False,0,3.841855149474861,1
34,8,3,1,[0.21821789],0,0,False,0,False,1,False,0,4.175123135113461,1
51,10,3,0,[0.52223297],0,0,False,0,False,2,False,0,4.147942872131213,1
42,7,3,1,[0.20412415],0,0,False,0,False,2,False,0,4.318045625665338,0
26,6,2,0,[0.28867513],0,0,False,0,False,2,False,0,3.9790978911348045,1
88,15,4,1,[0.38729833],0,0,False,0,False,2,False,0,4.325560813820691,1
64,10,3,1,[0.17407766],0,0,False,0,False,2,False,0,4.802668898701708,0
41,7,2,0,[0.23570226],0,0,False,0,False,2,False,0,4.006720834246031,0
156,19,3,0,[0.33333333],0,0,False,0,False,5,False,0,5.474814620869183,1
47,8,3,0,[0.47140452],0,0,False,0,False,3,False,0,4.177374895226562,0
39,8,2,1,[0.],0,0,False,0,False,3,False,0,4.006573937300012,1
27,7,4,1,[0.25819889],0,0,False,0,False,1,False,0,3.8282375018429553,0
29,6,3,0,[0.28867513],0,0,False,0,False,1,False,0,3.8143719431796272,0
40,6,2,0,[0.51639778],0,0,False,0,False,2,False,0,3.984183719779188,0
113,13,3,0,[0.16666667],0,0,False,0,False,2,False,0,5.253516851999272,1
19,6,3,0,[0.66666667],0,0,False,0,False,1,False,0,3.576617644908665,1
113,13,3,1,[0.19245009],0,0,False,0,False,5,False,0,5.306818512055064,1
27,6,3,1,[0.],0,0,False,0,False,1,False,0,3.754163427768881,0
23,6,3,0,[0.28867513],0,0,False,0,False,1,False,0,3.381620107948735,0
61,10,3,0,[0.38490018],0,0,False,0,False,2,False,0,4.216879346677897,0
76,14,3,0,[0.3086067],0,0,False,0,False,9,False,0,4.2268403709877305,1
21,6,3,1,[0.],0,0,False,0,False,1,False,0,3.653756708287001,0
34,7,3,1,[0.25819889],0,0,False,0,False,1,False,0,4.2339466645252255,0
40,9,3,0,[0.38490018],0,0,False,0,False,4,False,0,4.227567157116928,1
56,10,3,0,[0.17407766],0,0,False,0,False,4,False,0,4.194787734132637,1
47,9,3,0,[0.20412415],0,0,False,0,False,2,False,0,4.341406936599894,0
72,10,2,1,[0.21821789],0,0,False,0,False,3,False,0,4.804109773280683,1
59,11,4,1,[0.],0,0,False,0,False,3,False,0,4.271870804621884,1
527,9,3,0,[0.23570226],0,0,False,0,False,2,False,0,5.380016581939186,1
33,6,3,0,[0.51639778],0,0,True,0,False,0,False,0,4.043801694853791,1
75,9,3,0,[0.43643578],0,0,False,0,False,2,False,0,4.5034841516124455,0
69,11,3,0,[0.38490018],0,0,False,0,False,3,False,0,4.483696428684622,0
74,12,3,0,[0.17407766],0,0,False,0,False,3,False,0,4.5734026577797895,0
29,5,2,0,[0.28867513],0,0,False,0,False,1,False,0,4.185230132909403,1
25,5,2,0,[0.66666667],0,0,False,0,False,1,False,0,3.64307418942857,1
56,8,2,0,[0.43643578],0,0,False,0,False,3,False,0,4.272563191663423,1
80,8,3,0,[0.21821789],0,0,False,0,False,2,False,0,4.876318838740555,1
206,27,4,1,[0.07856742],0,0,False,0,False,1,False,0,4.773371472516393,1
80,14,3,0,[0.32025631],0,0,False,0,False,2,False,0,4.476441577715048,0
26,6,3,1,[0.],0,0,False,0,False,1,False,0,3.9500637564362093,0
75,10,3,0,[0.40824829],0,0,False,0,False,5,False,0,4.050961024316474,1
360,68,4,0,[0.06154575],0,0,False,0,False,6,False,0,5.229976615378417,1
40,8,3,1,[0.21821789],0,0,True,0,False,2,False,0,4.125070520364181,0
78,16,3,0,[0.28867513],0,0,False,0,False,3,False,0,4.094250098085523,0
95,13,3,0,[0.33333333],0,0,True,0,False,3,False,0,4.356478178651636,1
25,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.753269689515107,0
47,10,2,0,[0.20412415],0,0,False,0,False,4,False,0,4.120885064757336,1
51,10,3,0,[0.40824829],0,0,False,0,False,4,False,0,4.061857391237817,1
35,5,3,1,[0.],0,0,False,0,False,0,False,0,4.193429088311723,1
39,9,3,1,[0.21821789],0,0,False,0,False,4,False,0,4.162980744225907,0
50,10,3,1,[0.20412415],0,0,False,0,False,3,False,0,4.231789011092169,1
107,21,2,0,[0.14433757],0,0,False,0,False,7,False,0,4.544990356877413,1
66,8,2,0,[0.43643578],0,0,False,0,False,3,False,0,4.7640381577824265,1
79,15,3,1,[0.],0,0,False,0,False,8,False,0,4.761395033848441,1
38,6,3,0,[0.57735027],0,0,True,0,False,1,False,0,4.188331131693837,1
32,5,3,0,[0.28867513],0,0,False,0,False,0,False,0,3.965018266288633,1
17,5,3,0,[0.28867513],0,0,False,0,False,0,False,0,3.337175341123077,0
36,8,3,0,[0.23570226],0,0,False,0,False,1,False,0,4.197159723424148,1
34,7,2,0,[0.23570226],0,0,False,0,False,2,False,0,4.017917900762096,1
58,12,3,0,[0.32025631],0,0,False,0,False,7,False,0,4.430498451688414,0
81,14,5,1,[0.17407766],0,0,True,0,False,2,False,0,4.713642911367444,1
44,6,3,0,[0.57735027],0,0,False,0,False,1,False,0,3.904377428010702,1
42,8,3,0,[0.38490018],0,0,False,0,False,2,False,0,4.052682601195656,1
39,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,4.092342603144792,0
31,6,3,0,[0.28867513],0,0,False,0,False,1,False,0,3.953565664946427,0
43,9,5,1,[0.21821789],0,0,True,0,False,1,False,0,3.929042884757824,1
31,6,3,0,[0.25819889],0,0,False,0,False,1,False,0,3.9377519554085865,0
38,7,2,0,[0.47140452],0,0,False,0,False,2,False,0,3.905307776373746,1
78,11,3,1,[0.18257419],0,0,False,0,False,2,False,0,4.02733623976663,0
52,8,3,1,[0.],0,0,False,0,False,2,False,0,4.086048623870435,0
127,18,5,1,[0.28005602],0,0,False,0,True,2,False,0,4.856218006309019,1
36,6,3,1,[0.28867513],0,0,True,0,False,1,False,0,3.927451224964518,1
77,16,3,1,[0.20412415],0,0,False,0,False,3,False,0,4.489071815089425,0
88,14,4,1,[0.],0,0,False,0,False,3,False,0,4.392314256785772,0
62,13,3,1,[0.],0,0,False,0,False,3,False,0,4.396077617900943,0
43,9,3,0,[0.43643578],0,0,True,0,False,3,False,0,3.8545482680631697,0
143,9,3,1,[0.20412415],0,0,False,0,False,1,False,0,5.5211787254277205,1
21,6,3,1,[0.],0,0,False,0,False,1,False,0,3.5585186130489057,0
40,6,3,0,[0.51639778],0,0,False,0,False,1,False,0,3.727567157116928,0
177,15,2,1,[0.],0,0,False,0,True,5,False,0,4.457898850324619,1
26,7,3,0,[0.28867513],0,0,False,0,False,2,False,0,3.6714055834424975,1
72,15,3,0,[0.2981424],0,0,False,0,False,3,False,0,4.187132212342207,0
21,5,2,0,[0.28867513],0,0,True,0,False,1,False,0,3.6897037321995465,1
76,11,3,1,[0.19245009],0,0,False,0,False,2,False,0,4.361120323264651,0
105,8,2,0,[0.43643578],0,0,False,0,False,4,False,0,5.10465516597054,1
70,11,3,1,[0.19245009],0,0,False,0,False,3,False,0,4.1312189617597115,0
35,7,4,0,[0.25819889],0,0,False,0,False,1,False,0,4.006876945083701,0
42,9,3,0,[0.20412415],0,0,False,0,False,3,False,0,4.128184472069218,0
83,11,3,0,[0.5],0,0,False,0,False,3,False,0,4.655951444221601,1
39,7,3,0,[0.47140452],0,0,False,0,False,1,False,0,3.935935796218897,0
61,10,3,0,[0.47140452],0,0,True,0,False,1,False,0,4.512647280775707,1
48,8,3,1,[0.21821789],0,0,False,0,False,2,False,0,4.207067386399957,0
40,7,3,0,[0.47140452],0,0,False,0,False,2,False,0,4.093942707918268,0
35,7,3,0,[0.51639778],0,0,False,0,False,1,False,0,4.264578373902381,1
44,7,3,1,[0.25819889],0,0,False,0,False,2,False,0,4.2089873002588005,1
40,8,3,0,[0.47140452],0,0,False,0,False,2,False,0,4.196439344671015,0
29,5,2,1,[0.],0,0,False,0,False,1,False,0,4.021268494903765,1
77,11,3,1,[0.],0,0,False,0,False,4,False,0,4.197254427043498,0
63,11,3,1,[0.18257419],0,0,False,0,False,4,False,0,4.3762002180932775,1
172,21,2,0,[0.13245324],0,0,False,0,False,2,False,0,5.445221642029346,1
23,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.6424896731661267,0
50,8,2,0,[0.57735027],0,0,False,0,False,2,False,0,4.0480471909383064,1
38,8,3,1,[0.],0,0,False,0,False,1,False,0,4.221097250057957,1
28,5,3,0,[0.57735027],0,0,True,0,False,0,False,0,4.110577243331643,1
32,6,3,0,[0.57735027],0,0,False,0,False,1,False,0,3.819548827786958,0
42,7,3,0,[0.25819889],0,0,False,0,False,2,False,0,4.45160849410431,1
31,5,3,0,[0.57735027],0,0,False,0,False,0,False,0,3.937751955408586,0
31,7,3,0,[0.47140452],0,0,False,0,False,1,False,0,3.9937305842314763,1
89,15,3,1,[0.1490712],0,0,False,0,False,3,False,0,4.351119106382481,0
35,7,2,0,[0.51639778],0,0,False,0,False,3,False,0,4.125871146123144,1
84,13,3,0,[0.28867513],0,0,False,0,False,3,False,0,4.272921221596042,0
102,16,3,1,[0.1490712],0,0,False,0,False,1,False,0,5.3983542931656014,1
83,10,3,0,[0.38490018],0,0,False,0,False,4,False,0,4.6664425936586715,1
66,13,3,0,[0.3086067],0,0,False,0,False,2,False,0,4.412718597059803,1
30,9,4,0,[0.21821789],0,1,False,0,False,3,False,0,3.552584246172162,1
67,14,4,0,[0.16666667],0,0,False,0,False,6,False,0,4.302821048854524,0
49,10,2,0,[0.19245009],0,0,False,0,False,3,False,0,4.254930446501112,1
98,20,3,1,[0.],0,0,False,0,False,8,False,0,4.907236222815943,1
131,13,2,1,[0.16666667],0,0,False,0,False,2,False,0,5.338132706084332,1
42,9,3,0,[0.20412415],0,0,False,0,False,3,False,0,4.3297176493718394,0
41,8,3,1,[0.],0,0,False,0,False,2,False,0,4.10971640806369,0
65,8,3,0,[0.43643578],0,0,True,0,False,2,False,0,4.129513006264495,0
299,18,3,1,[0.12598816],0,0,False,0,False,7,False,0,4.845974786030135,1
21,6,3,1,[0.],0,0,False,0,False,1,False,0,3.5585186130489057,0
71,13,2,0,[0.20412415],0,0,False,0,False,4,False,0,4.820118556210203,1
69,9,5,1,[0.36514837],0,0,False,0,True,2,False,0,4.605295842098581,1
160,19,3,0,[0.40824829],0,0,True,0,True,4,False,0,5.483293627042921,1
58,9,3,0,[0.40824829],0,0,False,0,False,1,False,0,4.057918443508468,0
31,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.937751955408586,0
77,14,2,0,[0.16666667],0,0,False,0,True,7,False,0,4.262633619203972,1
51,9,3,0,[0.40824829],0,0,False,0,False,1,False,0,4.161103647469069,0
58,11,5,1,[0.19245009],0,0,True,0,True,1,False,0,4.131171031016862,1
24,5,3,0,[0.57735027],0,0,False,0,False,0,False,0,3.8239348962840563,0
73,9,3,1,[0.21821789],0,0,False,0,False,2,False,0,3.989242929408298,0
43,9,4,1,[0.],0,0,False,0,False,2,False,0,4.2374411389168944,0
37,7,4,1,[0.25819889],0,0,True,0,False,1,False,0,4.026360459931185,0
143,17,3,0,[0.3086067],0,0,False,0,False,1,False,0,5.316942030313344,1
46,10,2,1,[0.],0,0,False,0,False,4,False,0,4.093682879734897,0
41,8,4,0,[0.21821789],0,0,False,0,False,2,False,0,4.375487065435391,0
105,16,2,0,[0.2981424],0,0,False,0,False,4,False,0,4.728499533048555,1
36,7,3,1,[0.23570226],0,0,False,0,False,2,False,0,3.9193819456463705,0
52,10,2,0,[0.38490018],0,0,False,0,False,5,False,0,4.187535209236147,1
23,6,2,1,[0.],0,0,False,0,False,1,False,0,3.7622673906514947,1
132,17,3,1,[0.19245009],0,0,True,0,False,5,False,0,5.429489174117739,1
28,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.91379956460568,0
64,10,3,1,[0.36514837],0,0,True,0,False,1,False,0,4.220506696105124,1
208,25,3,1,[0.1490712],0,0,False,0,False,5,False,0,4.857493222342762,1
22,6,3,0,[0.57735027],0,0,False,0,False,1,False,0,3.663532754804254,1
106,27,3,0,[0.2847474],0,0,False,0,False,2,False,0,4.316329938248741,1
34,8,3,0,[0.47140452],0,0,False,0,False,3,False,0,3.6349899593310995,1
82,12,3,1,[0.],0,0,False,0,False,4,False,0,4.30640471271895,0
82,12,3,0,[0.40824829],0,0,False,0,False,3,False,0,4.425409896619119,0
66,11,5,0,[0.38490018],0,0,True,0,False,1,False,0,4.1540747130674305,1
75,14,3,1,[0.14002801],0,0,True,0,False,4,False,0,4.108475446206573,0
15,5,2,0,[0.33333333],0,0,False,0,False,1,False,0,3.32323142879762,1
69,9,3,0,[0.43643578],0,0,False,0,False,1,False,0,4.8107146738559265,1
92,11,3,0,[0.38490018],0,0,True,0,False,5,False,0,4.631484511716636,1
36,7,4,0,[0.51639778],0,0,False,0,False,1,False,0,3.7799500009615414,0
54,9,3,1,[0.21821789],0,0,False,0,False,2,False,0,4.0206515671311625,1
68,9,5,0,[0.54772256],0,0,False,0,True,2,False,0,4.574697820064778,1
46,8,3,0,[0.47140452],0,0,False,0,False,2,False,0,4.050204618865332,0
51,7,3,0,[0.51639778],0,0,False,0,False,2,False,0,4.179504450061347,1
86,14,2,0,[0.4472136],0,0,True,0,False,4,False,0,4.526077512292084,1
32,5,3,0,[0.57735027],0,0,True,0,False,0,False,0,4.077819531114783,1
115,18,3,1,[0.14433757],0,0,False,0,False,5,False,0,4.456372505426206,0
23,5,3,0,[0.57735027],0,0,False,0,False,0,False,0,4.0559581516151235,0
119,17,3,1,[0.14433757],0,0,False,0,False,5,False,0,4.579846423827761,0
18,5,2,0,[0.33333333],0,0,False,0,False,1,False,0,3.149673447186741,0
44,11,4,0,[0.19245009],0,1,False,0,False,4,False,0,4.2089873002588,1
43,9,2,0,[0.21821789],0,0,False,0,False,4,False,0,4.146740335896194,1
54,9,3,1,[0.],0,0,False,0,False,3,False,0,4.068447643259063,1
49,8,3,1,[0.23570226],0,0,False,0,False,3,False,0,3.864738293873281,1
56,10,3,0,[0.40824829],0,0,False,0,False,2,False,0,4.349341698990737,0
32,6,2,1,[0.],0,0,False,0,False,2,False,0,3.952819531114783,1
33,6,3,1,[0.25819889],0,0,False,0,False,1,False,0,4.142138437212473,0
28,6,3,0,[0.57735027],0,0,False,0,False,1,False,0,4.039148671903071,0
43,7,3,1,[0.23570226],0,0,False,0,False,2,False,0,4.204652545097892,0
32,6,3,0,[0.51639778],0,0,True,0,False,0,False,0,4.077819531114783,1
55,10,3,0,[0.19245009],0,0,False,0,False,3,False,0,4.253845741372935,1
132,12,3,1,[0.19245009],0,0,False,0,False,2,False,0,5.406877195451162,1
82,12,3,1,[0.19245009],0,0,False,0,False,4,False,0,5.095552694186816,1
38,7,3,1,[0.],0,0,False,0,False,1,False,0,4.11583409216322,0
66,11,3,0,[0.43643578],0,0,False,0,False,2,False,0,4.546002407395105,0
42,9,4,1,[0.],0,0,False,0,False,2,False,0,4.159592720140251,1
31,6,3,0,[0.25819889],0,0,False,0,False,1,False,0,4.17146526179041,0
32,4,2,0,[0.33333333],0,0,False,0,False,0,False,0,3.875,0
138,27,3,0,[0.15861032],0,0,False,0,False,1,False,0,4.77116433452819,1
86,9,4,0,[0.20412415],0,0,False,0,False,2,False,0,4.718497063532118,1
24,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.8553885422075345,0
57,9,3,0,[0.40824829],0,0,False,0,False,1,False,0,4.687552952495541,0
56,11,3,1,[0.18257419],0,0,False,0,False,1,False,0,4.17123154807936,0
24,6,3,0,[0.28867513],0,0,False,0,False,1,False,0,3.6572682296173897,0
25,6,3,1,[0.],0,0,False,0,False,1,False,0,3.589275070710713,0
36,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,4.078696876021637,0
53,9,3,0,[0.40824829],0,0,False,0,False,1,False,0,4.31294463456903,0
39,8,3,1,[0.],0,0,False,0,False,1,False,0,4.070425860265988,0
44,9,3,0,[0.18257419],0,0,False,0,False,3,False,0,4.306498528791829,0
293,18,3,1,[0.1490712],0,0,False,0,False,5,False,0,4.897720947970794,1
22,6,3,1,[0.],0,0,False,0,False,1,False,0,3.572623663895164,0
32,6,3,0,[0.57735027],0,0,True,0,False,1,False,0,3.9917292966721747,0
51,7,3,1,[0.23570226],0,0,False,0,False,1,False,0,4.3588230192324575,0
80,8,3,0,[0.23570226],0,0,False,0,False,1,False,0,4.050918527965467,1
27,5,2,0,[0.57735027],0,0,False,0,False,1,False,0,4.004344446367528,0
42,9,3,0,[0.40824829],0,0,False,0,False,1,False,0,4.094000160564931,0
94,11,4,0,[0.19245009],0,0,False,0,True,4,False,0,4.735090782773394,1
43,7,3,1,[0.23570226],0,0,False,0,False,2,False,0,4.268719696310996,0
43,6,3,0,[0.51639778],0,0,False,0,False,1,False,0,4.047562138070835,0
43,9,3,0,[0.47140452],0,0,False,0,False,2,False,0,4.338941789535506,0
40,8,4,1,[0.],0,0,False,0,False,1,False,0,4.087326145256007,1
108,14,3,1,[0.16012815],0,0,False,0,False,5,False,0,4.682482586967457,1
61,11,3,0,[0.18257419],0,0,False,0,False,5,False,0,4.344752609952984,0
74,11,4,0,[0.38490018],0,0,True,0,False,1,False,0,4.306303534050857,0
76,10,5,0,[0.52223297],0,0,False,0,True,2,False,0,4.533708106371297,1
91,13,2,0,[0.33333333],0,0,False,0,False,3,False,0,4.184287053016659,0
25,7,4,1,[0.],0,0,False,0,False,1,False,0,3.9132696895151073,0
52,10,3,0,[0.38490018],0,0,False,0,False,1,False,0,4.39199548703902,1
99,11,3,1,[0.21821789],0,0,False,0,False,5,False,0,5.304100463755998,1
58,11,6,0,[0.19245009],0,0,False,0,False,1,False,0,4.130170660497148,1
302,18,3,1,[0.12598816],0,0,False,0,False,7,False,0,4.68828566571173,1
36,7,3,0,[0.51639778],0,0,False,0,False,1,False,0,4.162573265150912,1
89,14,3,1,[0.16012815],0,0,False,0,False,6,False,0,4.234741377163682,0
70,11,3,0,[0.36514837],0,0,False,0,False,5,False,0,4.273109311346435,1
31,7,2,0,[0.51639778],0,0,False,0,False,3,False,0,3.8858280691364313,0
22,5,2,1,[0.],0,0,False,0,False,1,False,0,3.7544418457133446,1
49,9,3,0,[0.47140452],0,0,False,0,False,2,False,0,4.244925854752683,0
118,18,5,1,[0.2981424],0,0,False,0,True,3,False,0,4.7297400886186765,1
60,8,4,1,[0.],0,0,False,0,False,0,False,0,4.242052005409673,1
73,11,2,0,[0.36514837],0,0,False,0,False,6,False,0,4.022227883915711,1
31,6,3,0,[0.57735027],0,0,True,0,False,1,False,0,3.9779168746936358,0
46,12,4,0,[0.19245009],0,0,False,0,False,5,False,0,4.161148163381858,0
44,9,3,0,[0.20412415],0,0,False,0,False,3,False,0,4.399677289476145,0
33,8,3,0,[0.43643578],0,0,False,0,False,1,False,0,4.165013816065913,1
85,13,2,0,[0.32025631],0,0,False,0,False,7,False,0,4.752423996235876,1
55,12,3,0,[0.36514837],0,0,False,0,False,5,False,0,4.219717615125918,0
38,7,3,1,[0.23570226],0,0,False,0,False,1,False,0,4.238334671954103,1
68,13,3,1,[0.],0,0,False,0,False,5,False,0,4.568341886159931,0
48,8,3,1,[0.21821789],0,0,False,0,False,2,False,0,4.042481250360578,0
62,13,3,0,[0.32025631],0,0,False,0,False,3,False,0,4.284842183187398,0
34,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.6793951065171857,0
26,5,3,0,[0.28867513],0,0,False,0,False,0,False,0,3.8252517372886508,0
43,7,5,0,[0.23570226],0,0,False,0,False,0,False,0,4.175696440497044,1
71,11,3,0,[0.38490018],0,0,False,0,False,2,False,0,4.25651274732283,0
39,7,3,0,[0.47140452],0,0,False,0,False,2,False,0,3.974647975817024,0
57,9,3,0,[0.40824829],0,0,False,0,False,1,False,0,4.135608112687476,0
32,5,3,0,[0.57735027],0,0,True,0,False,0,False,0,3.926108500731241,0
24,7,4,0,[0.25819889],0,0,False,0,False,1,False,0,3.6887218755408675,0
28,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,4.039148671903072,0
57,9,3,0,[0.51639778],0,0,False,0,False,1,False,0,4.068936725673788,0
21,5,3,1,[0.28867513],0,0,False,0,False,0,False,0,3.7849418274376423,1
39,9,3,0,[0.43643578],0,0,False,0,False,1,False,0,4.355539077670187,0
51,11,3,0,[0.33333333],0,0,True,0,False,1,False,0,4.140288763786837,0
74,14,4,0,[0.16012815],0,0,False,0,False,7,False,0,4.506920434285952,0
60,10,3,1,[0.20412415],0,0,False,0,False,3,False,0,4.390328621280336,1
41,9,4,0,[0.40824829],0,0,False,0,False,2,False,0,4.161953223919209,1
78,13,3,0,[0.40824829],0,0,False,0,False,3,False,0,4.488874701305092,0
68,11,3,1,[0.],0,0,False,0,False,2,False,0,4.449461694408368,0
26,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.767183467891461,0
49,8,3,1,[0.],0,0,False,0,False,2,False,0,4.068292752057712,0
29,6,3,1,[0.],0,0,False,0,False,1,False,0,3.9523029776623857,1
43,8,3,1,[0.23570226],0,0,False,0,False,1,False,0,4.553944405764262,0
66,9,3,1,[0.20412415],0,0,False,0,False,2,False,0,4.951379490761219,0
68,9,5,0,[0.54772256],0,0,False,0,True,2,False,0,4.552115370751692,1
54,8,3,0,[0.43643578],0,0,False,0,True,1,False,0,4.138991558345295,1
32,7,4,0,[0.51639778],0,0,False,0,False,1,False,0,3.8667292966721747,0
23,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.849223912390625,0
76,13,3,1,[0.],0,0,False,0,False,3,False,0,4.498350054091901,0
73,11,3,1,[0.],0,0,False,0,False,2,False,0,4.282175504548766,0
93,10,2,1,[0.18257419],0,0,False,0,False,4,False,0,4.612550983935182,1
54,10,3,0,[0.36514837],0,0,True,0,False,3,False,0,4.194134262580249,0
63,10,3,0,[0.38490018],0,0,False,0,False,3,False,0,4.316499122181016,0
44,7,3,1,[0.23570226],0,0,True,0,False,2,False,0,3.9474015047059154,0
35,6,3,0,[0.57735027],0,0,True,0,False,1,False,0,3.8541632888566597,0
25,6,3,0,[0.28867513],0,0,False,0,False,1,False,0,3.319079570624174,0
68,14,5,0,[0.34815531],0,0,True,0,False,2,False,0,4.35050498921424,1
43,6,3,0,[0.51639778],0,0,False,0,False,1,False,0,4.126862359796814,0
60,12,4,0,[0.36514837],0,0,False,0,False,4,False,0,4.2253263791155,1
49,10,3,1,[0.19245009],0,0,False,0,False,1,False,0,4.507267752146016,0
